dataset,seed,corruption,severity,alpha,method,n_train,n_calib,n_aug_calib,n_test,n_channels,series_length,n_classes,coverage,avg_set_size,singleton_rate,singleton_accuracy,empty_rate,top1_accuracy,ece
BasicMotions,1,drift,0.1,0.05,aug_split_cp,26,14,140,40,6,100,4,0.975,1.05,0.95,0.9736842105263158,0.0,0.95,0.09680582302124008
BasicMotions,1,drift,0.1,0.05,fast_cp_mixed_input_only,26,14,140,40,6,100,4,0.975,1.05,0.95,0.9736842105263158,0.0,0.95,0.09680582302124008
BasicMotions,1,drift,0.1,0.05,fast_cp_mixed_confidence_only,26,14,140,40,6,100,4,0.975,1.075,0.95,0.9736842105263158,0.0,0.95,0.09680582302124008
BasicMotions,1,drift,0.1,0.05,fast_cp_mixed_random_fingerprint,26,14,140,40,6,100,4,0.975,1.05,0.95,0.9736842105263158,0.0,0.95,0.09680582302124008
BasicMotions,1,drift,0.1,0.05,fast_cp_mixed,26,14,140,40,6,100,4,0.975,1.05,0.95,0.9736842105263158,0.0,0.95,0.09680582302124008
BasicMotions,1,drift,0.2,0.05,clean_split_cp,26,14,140,40,6,100,4,0.975,1.05,0.95,0.9736842105263158,0.0,0.975,0.0807680557690391
BasicMotions,1,drift,0.2,0.05,aug_split_cp,26,14,140,40,6,100,4,0.975,1.05,0.95,0.9736842105263158,0.0,0.975,0.0807680557690391
BasicMotions,1,drift,0.2,0.05,fast_cp_mixed_input_only,26,14,140,40,6,100,4,0.975,1.05,0.95,0.9736842105263158,0.0,0.975,0.0807680557690391
BasicMotions,1,drift,0.2,0.05,fast_cp_mixed_confidence_only,26,14,140,40,6,100,4,0.975,1.05,0.95,0.9736842105263158,0.0,0.975,0.0807680557690391
BasicMotions,1,drift,0.2,0.05,fast_cp_mixed_random_fingerprint,26,14,140,40,6,100,4,0.975,1.05,0.95,0.9736842105263158,0.0,0.975,0.0807680557690391
BasicMotions,1,drift,0.2,0.05,fast_cp_mixed,26,14,140,40,6,100,4,0.975,1.05,0.95,0.9736842105263158,0.0,0.975,0.0807680557690391
BasicMotions,1,drift,0.4,0.05,clean_split_cp,26,14,140,40,6,100,4,0.975,1.075,0.925,1.0,0.0,0.95,0.07670194536239436
BasicMotions,1,drift,0.4,0.05,aug_split_cp,26,14,140,40,6,100,4,0.975,1.075,0.925,1.0,0.0,0.95,0.07670194536239436
BasicMotions,1,drift,0.4,0.05,fast_cp_mixed_input_only,26,14,140,40,6,100,4,0.975,1.075,0.925,1.0,0.0,0.95,0.07670194536239436
BasicMotions,1,drift,0.4,0.05,fast_cp_mixed_confidence_only,26,14,140,40,6,100,4,0.975,1.075,0.925,1.0,0.0,0.95,0.07670194536239436
BasicMotions,1,drift,0.4,0.05,fast_cp_mixed_random_fingerprint,26,14,140,40,6,100,4,0.975,1.075,0.925,1.0,0.0,0.95,0.07670194536239436
BasicMotions,1,drift,0.4,0.05,fast_cp_mixed,26,14,140,40,6,100,4,0.975,1.075,0.925,1.0,0.0,0.95,0.07670194536239436
BasicMotions,2,gap,0.05,0.05,clean_split_cp,26,14,140,40,6,100,4,1.0,1.025,0.975,1.0,0.0,0.975,0.10800479512814924
BasicMotions,2,gap,0.05,0.05,aug_split_cp,26,14,140,40,6,100,4,1.0,1.05,0.95,1.0,0.0,0.975,0.10800479512814924
BasicMotions,2,gap,0.05,0.05,fast_cp_mixed_input_only,26,14,140,40,6,100,4,1.0,1.05,0.95,1.0,0.0,0.975,0.10800479512814924
BasicMotions,2,gap,0.05,0.05,fast_cp_mixed_confidence_only,26,14,140,40,6,100,4,1.0,1.05,0.95,1.0,0.0,0.975,0.10800479512814924
BasicMotions,2,gap,0.05,0.05,fast_cp_mixed_random_fingerprint,26,14,140,40,6,100,4,1.0,1.05,0.95,1.0,0.0,0.975,0.10800479512814924
BasicMotions,2,gap,0.05,0.05,fast_cp_mixed,26,14,140,40,6,100,4,1.0,1.05,0.95,1.0,0.0,0.975,0.10800479512814924
BasicMotions,2,gap,0.1,0.05,clean_split_cp,26,14,140,40,6,100,4,0.975,1.0,1.0,0.975,0.0,0.975,0.11851764111984463
BasicMotions,2,gap,0.1,0.05,aug_split_cp,26,14,140,40,6,100,4,0.975,1.025,0.975,0.9743589743589743,0.0,0.975,0.11851764111984463
BasicMotions,2,gap,0.1,0.05,fast_cp_mixed_input_only,26,14,140,40,6,100,4,0.975,1.025,0.975,0.9743589743589743,0.0,0.975,0.11851764111984463
BasicMotions,2,gap,0.1,0.05,fast_cp_mixed_confidence_only,26,14,140,40,6,100,4,1.0,1.05,0.95,1.0,0.0,0.975,0.11851764111984463
BasicMotions,2,gap,0.1,0.05,fast_cp_mixed_random_fingerprint,26,14,140,40,6,100,4,0.975,1.0,1.0,0.975,0.0,0.975,0.11851764111984463
BasicMotions,2,gap,0.1,0.05,fast_cp_mixed,26,14,140,40,6,100,4,1.0,1.05,0.95,1.0,0.0,0.975,0.11851764111984463
BasicMotions,2,gap,0.2,0.05,clean_split_cp,26,14,140,40,6,100,4,0.975,1.025,0.975,0.9743589743589743,0.0,0.975,0.11934410411151408
BasicMotions,2,gap,0.2,0.05,aug_split_cp,26,14,140,40,6,100,4,0.975,1.025,0.975,0.9743589743589743,0.0,0.975,0.11934410411151408
BasicMotions,2,gap,0.2,0.05,fast_cp_mixed_input_only,26,14,140,40,6,100,4,0.975,1.025,0.975,0.9743589743589743,0.0,0.975,0.11934410411151408
BasicMotions,2,gap,0.2,0.05,fast_cp_mixed_confidence_only,26,14,140,40,6,100,4,0.975,1.05,0.95,0.9736842105263158,0.0,0.975,0.11934410411151408
BasicMotions,2,gap,0.2,0.05,fast_cp_mixed_random_fingerprint,26,14,140,40,6,100,4,0.975,1.025,0.975,0.9743589743589743,0.0,0.975,0.11934410411151408
BasicMotions,2,gap,0.2,0.05,fast_cp_mixed,26,14,140,40,6,100,4,0.975,1.025,0.975,0.9743589743589743,0.0,0.975,0.11934410411151408
BasicMotions,2,noise,0.05,0.05,clean_split_cp,26,14,140,40,6,100,4,1.0,1.05,0.95,1.0,0.0,1.0,0.10193909680404006
BasicMotions,2,noise,0.05,0.05,aug_split_cp,26,14,140,40,6,100,4,1.0,1.05,0.95,1.0,0.0,1.0,0.10193909680404006
BasicMotions,2,noise,0.05,0.05,fast_cp_mixed_input_only,26,14,140,40,6,100,4,1.0,1.05,0.95,1.0,0.0,1.0,0.10193909680404006
BasicMotions,2,noise,0.05,0.05,fast_cp_mixed_confidence_only,26,14,140,40,6,100,4,1.0,1.05,0.95,1.0,0.0,1.0,0.10193909680404006
